x,y,z
2.5,4.6,10.6
2.71,4.989,10.432
2.9379,5.4152,10.289
3.1856,5.8814,10.174
3.4552,6.3904,10.09
3.7487,6.9453,10.042
4.0684,7.5491,10.034
4.4165,8.2045,10.074
4.7953,8.9142,10.168
5.2072,9.6801,10.324
5.6544,10.504,10.553
6.1394,11.385,10.865
6.664,12.323,11.275
7.2299,13.315,11.795
7.8384,14.353,12.443
8.4899,15.429,13.236
9.1838,16.528,14.193
9.9182,17.631,15.333
10.689,18.711,16.673
11.492,19.735,18.228
12.316,20.66,20.01
13.15,21.438,22.021
13.979,22.01,24.253
14.782,22.313,26.683
15.535,22.285,29.269
16.21,21.865,31.951
16.776,21.006,34.643
17.199,19.681,37.243
17.447,17.895,39.635
17.492,15.686,41.7
17.311,13.133,43.332
16.893,10.347,44.45
16.239,7.4646,45.013
15.361,4.6274,45.024
14.288,1.966,44.535
13.056,-0.41611,43.628
11.709,-2.4523,42.41
10.292,-4.115,40.992
8.8517,-5.411,39.475
7.4254,-6.3727,37.944
6.0456,-7.0473,36.459
4.7363,-7.4882,35.06
3.5139,-7.7477,33.771
2.3877,-7.873,32.598
1.3616,-7.9041,31.541
0.43507,-7.8732,30.592
-0.39576,-7.8058,29.742
-1.1368,-7.7208,28.98
-1.7952,-7.6325,28.295
-2.3789,-7.5509,27.677
-2.8961,-7.483,27.119
-3.3548,-7.4337,26.612
-3.7627,-7.406,26.152
-4.127,-7.4014,25.733
-4.4545,-7.421,25.353
-4.7511,-7.4647,25.007
-5.0225,-7.5322,24.695
-5.2734,-7.6229,24.415
-5.5084,-7.7357,24.166
-5.7311,-7.8696,23.947
-5.945,-8.0232,23.76
-6.1528,-8.195,23.603
-6.357,-8.3836,23.478
-6.5597,-8.5872,23.385
-6.7624,-8.8041,23.324
-6.9666,-9.0323,23.298
-7.1732,-9.2695,23.306
-7.3828,-9.5135,23.349
-7.5959,-9.7618,23.429
-7.8125,-10.011,23.546
-8.0324,-10.259,23.7
-8.255,-10.502,23.892
-8.4797,-10.736,24.122
-8.7054,-10.958,24.389
-8.9306,-11.162,24.692
-9.1538,-11.346,25.031
-9.373,-11.504,25.402
-9.5862,-11.633,25.803
-9.7908,-11.727,26.23
-9.9845,-11.783,26.679
-10.164,-11.797,27.144
-10.328,-11.766,27.619
-10.472,-11.688,28.098
-10.593,-11.561,28.572
-10.69,-11.385,29.035
-10.759,-11.16,29.478
-10.8,-10.89,29.893
-10.809,-10.576,30.272
-10.785,-10.225,30.607
-10.729,-9.8415,30.894
-10.64,-9.4326,31.126
-10.52,-9.0057,31.3
-10.368,-8.5685,31.412
-10.188,-8.129,31.463
-9.9824,-7.6949,31.452
-9.7536,-7.2733,31.382
-9.5056,-6.8707,31.254
-9.2421,-6.4926,31.074
-8.9672,-6.1436,30.845
-8.6848,-5.827,30.574
-8.399,-5.5452,30.265
-8.1136,-5.2996,29.923
-7.8322,-5.0905,29.555
-7.5581,-4.9178,29.166
-7.294,-4.7805,28.76
-7.0427,-4.6773,28.342
-6.8062,-4.6065,27.915
-6.5862,-4.5662,27.484
-6.3842,-4.5545,27.052
-6.2012,-4.5695,26.621
-6.038,-4.6092,26.195
-5.8952,-4.6721,25.775
-5.7729,-4.7566,25.363
-5.6712,-4.8613,24.961
-5.5902,-4.985,24.571
-5.5297,-5.1268,24.195
-5.4894,-5.286,23.833
-5.4691,-5.4619,23.488
-5.4684,-5.6541,23.16
-5.4869,-5.8622,22.851
-5.5245,-6.0861,22.564
-5.5806,-6.3255,22.298
-5.6551,-6.5805,22.057
-5.7477,-6.8508,21.841
-5.858,-7.1363,21.652
-5.9858,-7.4368,21.493
-6.1309,-7.7519,21.365
-6.293,-8.0812,21.27
-6.4718,-8.4239,21.212
-6.667,-8.779,21.191
-6.8782,-9.1452,21.211
-7.1049,-9.5207,21.275
-7.3465,-9.9033,21.384
-7.6022,-10.29,21.541
-7.871,-10.678,21.749
-8.1517,-11.064,22.009
-8.4429,-11.441,22.324
-8.7428,-11.806,22.695
-9.0491,-12.152,23.122
-9.3594,-12.472,23.605
-9.6706,-12.758,24.143
-9.9794,-13.004,24.733
-10.282,-13.2,25.371
-10.574,-13.338,26.052
-10.85,-13.411,26.767
-11.106,-13.41,27.509
-11.337,-13.331,28.264
-11.536,-13.168,29.022
-11.699,-12.918,29.767
-11.821,-12.582,30.485
-11.897,-12.163,31.159
-11.924,-11.665,31.775
-11.898,-11.098,32.319
-11.818,-10.474,32.777
-11.683,-9.8042,33.141
-11.496,-9.1055,33.403
-11.257,-8.3934,33.559
-10.97,-7.6838,33.609
-10.642,-6.9917,33.555
-10.277,-6.3306,33.404
-9.882,-5.7119,33.164
-9.465,-5.1445,32.844
-9.0329,-4.6345,32.455
-8.5931,-4.1857,32.009
-8.1523,-3.7994,31.515
-7.717,-3.4749,30.984
-7.2928,-3.2098,30.426
-6.8845,-3.0008,29.849
-6.4962,-2.8436,29.259
-6.1309,-2.7333,28.664
-5.7911,-2.6653,28.067
-5.4786,-2.6348,27.473
-5.1942,-2.6373,26.885
-4.9385,-2.6689,26.305
-4.7115,-2.7259,25.735
-4.513,-2.8053,25.177
-4.3422,-2.9047,24.632
-4.1984,-3.0219,24.102
-4.0808,-3.1553,23.586
-3.9882,-3.3039,23.086
-3.9198,-3.4669,22.602
-3.8745,-3.6438,22.135
-3.8514,-3.8346,21.686
-3.8498,-4.0394,21.255
-3.8687,-4.2587,20.844
-3.9077,-4.493,20.453
-3.9662,-4.7429,20.083
-4.0439,-5.0095,19.736
-4.1405,-5.2936,19.412
-4.2558,-5.5963,19.113
-4.3898,-5.9185,18.842
-4.5427,-6.2614,18.599
-4.7146,-6.6258,18.388
-4.9057,-7.0127,18.21
-5.1164,-7.4229,18.068
-5.347,-7.8568,17.966
-5.598,-8.3147,17.907
-5.8697,-8.7966,17.895
-6.1624,-9.3017,17.934
-6.4763,-9.829,18.029
-6.8116,-10.376,18.185
-7.1681,-10.941,18.407
-7.5454,-11.519,18.7
-7.9428,-12.106,19.071
-8.3591,-12.694,19.524
-8.7926,-13.276,20.064
-9.2409,-13.841,20.697
-9.7009,-14.377,21.424
-10.169,-14.871,22.247
-10.639,-15.308,23.166
-11.106,-15.669,24.177
-11.562,-15.937,25.272
-12,-16.093,26.441
-12.409,-16.119,27.667
-12.78,-15.999,28.929
-13.102,-15.72,30.203
-13.364,-15.275,31.457
-13.555,-14.66,32.659
-13.665,-13.882,33.775
-13.687,-12.954,34.772
-13.614,-11.897,35.617
-13.442,-10.741,36.287
-13.172,-9.52,36.763
-12.807,-8.2704,37.037
-12.353,-7.0304,37.109
-11.821,-5.8349,36.988
-11.222,-4.7141,36.691
-10.571,-3.6917,36.242
-9.8834,-2.7835,35.665
-9.1735,-1.9981,34.989
-8.4559,-1.3369,34.24
-7.744,-0.79595,33.44
-7.0492,-0.36674,32.61
-6.381,-0.03814,31.766
-5.7467,0.20254,30.921
-5.1518,0.36838,30.085
-4.5997,0.47211,29.264
-4.0926,0.52551,28.462
-3.6308,0.53915,27.681
-3.2138,0.52218,26.923
-2.8402,0.48236,26.189
-2.5079,0.42609,25.477
-2.2145,0.35854,24.787
-1.9572,0.28379,24.118
-1.7331,0.20497,23.469
-1.5393,0.12439,22.84
-1.3729,0.043712,22.229
-1.2313,-0.035963,21.635
-1.1117,-0.11397,21.059
-1.012,-0.19,20.498
-0.92976,-0.26401,19.954
-0.86319,-0.33618,19.424
-0.81049,-0.40685,18.909
-0.77013,-0.47646,18.408
