x,y,z
1,1,0
0.99,1.012,0.002
0.97986,1.0239,0.0039058
0.96958,1.0358,0.0057214
0.95917,1.0475,0.0074508
0.94862,1.0592,0.0090976
0.93793,1.0708,0.010665
0.92712,1.0824,0.012157
0.91617,1.0938,0.013577
0.9051,1.1051,0.014928
0.8939,1.1164,0.016212
0.88257,1.1276,0.017433
0.87112,1.1386,0.018593
0.85955,1.1496,0.019695
0.84786,1.1605,0.020742
0.83604,1.1713,0.021735
0.82411,1.182,0.022678
0.81207,1.1926,0.023572
0.7999,1.2031,0.02442
0.78763,1.2136,0.025224
0.77524,1.2239,0.025984
0.76274,1.2341,0.026705
0.75014,1.2442,0.027386
0.73742,1.2541,0.028031
0.7246,1.264,0.02864
0.71167,1.2738,0.029215
0.69864,1.2835,0.029757
0.68551,1.293,0.030269
0.67228,1.3025,0.030751
0.65894,1.3118,0.031205
0.64551,1.321,0.031632
0.63199,1.3301,0.032033
0.61837,1.3391,0.03241
0.60465,1.3479,0.032763
0.59085,1.3567,0.033094
0.57695,1.3653,0.033403
0.56296,1.3738,0.033691
0.54889,1.3822,0.033961
0.53472,1.3904,0.034211
0.52048,1.3986,0.034444
0.50615,1.4066,0.03466
0.49174,1.4144,0.03486
0.47724,1.4222,0.035044
0.46267,1.4298,0.035214
0.44802,1.4373,0.03537
0.43329,1.4446,0.035512
0.41849,1.4519,0.035642
0.40362,1.4589,0.035759
0.38867,1.4659,0.035866
0.37365,1.4727,0.035961
0.35857,1.4794,0.036045
0.34341,1.4859,0.03612
0.32819,1.4924,0.036185
0.3129,1.4986,0.036241
0.29756,1.5047,0.036289
0.28215,1.5107,0.036328
0.26668,1.5166,0.03636
0.25115,1.5223,0.036385
0.23556,1.5278,0.036402
0.21992,1.5332,0.036413
0.20422,1.5385,0.036417
0.18847,1.5436,0.036416
0.17267,1.5486,0.036409
0.15682,1.5534,0.036397
0.14092,1.5581,0.036379
0.12498,1.5626,0.036357
0.10899,1.567,0.03633
0.092955,1.5712,0.036299
0.076879,1.5753,0.036263
0.060764,1.5792,0.036224
0.044609,1.583,0.036181
0.028418,1.5866,0.036135
0.012191,1.59,0.036086
-0.0040708,1.5934,0.036033
-0.020365,1.5965,0.035978
-0.036689,1.5995,0.03592
-0.053043,1.6023,0.035859
-0.069425,1.605,0.035796
-0.085833,1.6075,0.035731
-0.10227,1.6099,0.035664
-0.11872,1.6121,0.035594
-0.1352,1.6141,0.035523
-0.15169,1.616,0.03545
-0.16821,1.6177,0.035376
-0.18474,1.6192,0.0353
-0.20128,1.6206,0.035223
-0.21784,1.6219,0.035144
-0.23441,1.6229,0.035064
-0.25099,1.6238,0.034983
-0.26758,1.6246,0.034902
-0.28418,1.6251,0.034819
-0.30078,1.6256,0.034735
-0.31738,1.6258,0.034651
-0.33398,1.6259,0.034566
-0.35059,1.6258,0.03448
-0.36719,1.6255,0.034394
-0.38379,1.6251,0.034307
-0.40038,1.6245,0.03422
-0.41697,1.6238,0.034132
-0.43355,1.6228,0.034044
-0.45012,1.6218,0.033956
-0.46668,1.6205,0.033868
-0.48322,1.6191,0.033779
-0.49975,1.6175,0.033691
-0.51626,1.6157,0.033602
-0.53275,1.6138,0.033513
-0.54923,1.6117,0.033424
-0.56568,1.6094,0.033336
-0.5821,1.607,0.033247
-0.59851,1.6044,0.033158
-0.61488,1.6016,0.03307
-0.63123,1.5986,0.032982
-0.64754,1.5955,0.032893
-0.66383,1.5922,0.032806
-0.68008,1.5888,0.032718
-0.69629,1.5852,0.03263
-0.71247,1.5814,0.032543
-0.72861,1.5774,0.032456
-0.74471,1.5733,0.03237
-0.76077,1.569,0.032284
-0.77678,1.5645,0.032198
-0.79275,1.5599,0.032113
-0.80867,1.5551,0.032028
-0.82454,1.5501,0.031943
-0.84036,1.5449,0.031859
-0.85613,1.5396,0.031775
-0.87184,1.5342,0.031692
-0.8875,1.5285,0.031609
-0.9031,1.5227,0.031527
-0.91864,1.5167,0.031445
-0.93412,1.5105,0.031364
-0.94954,1.5042,0.031283
-0.9649,1.4977,0.031203
-0.98019,1.4911,0.031123
-0.99541,1.4843,0.031044
-1.0106,1.4773,0.030966
-1.0256,1.4701,0.030888
-1.0407,1.4628,0.03081
-1.0556,1.4553,0.030734
-1.0705,1.4477,0.030657
-1.0852,1.4399,0.030582
-1.0999,1.4319,0.030507
-1.1146,1.4238,0.030432
-1.1291,1.4155,0.030358
-1.1436,1.407,0.030285
-1.1579,1.3984,0.030213
-1.1722,1.3896,0.030141
-1.1864,1.3807,0.030069
-1.2005,1.3716,0.029999
-1.2145,1.3623,0.029929
-1.2285,1.3529,0.029859
-1.2423,1.3433,0.02979
-1.256,1.3336,0.029722
-1.2697,1.3237,0.029655
-1.2832,1.3136,0.029588
-1.2966,1.3034,0.029522
-1.31,1.2931,0.029456
-1.3232,1.2825,0.029391
-1.3363,1.2719,0.029327
-1.3493,1.2611,0.029264
-1.3622,1.2501,0.029201
-1.375,1.239,0.029138
-1.3877,1.2277,0.029077
-1.4003,1.2163,0.029016
-1.4127,1.2047,0.028956
-1.425,1.193,0.028896
-1.4373,1.1811,0.028837
-1.4494,1.1691,0.028779
-1.4613,1.157,0.028722
-1.4732,1.1447,0.028665
-1.4849,1.1322,0.028609
-1.4965,1.1196,0.028553
-1.508,1.1069,0.028498
-1.5194,1.094,0.028444
-1.5306,1.081,0.028391
-1.5417,1.0679,0.028338
-1.5527,1.0546,0.028286
-1.5635,1.0412,0.028234
-1.5742,1.0276,0.028183
-1.5847,1.0139,0.028133
-1.5952,1.0001,0.028084
-1.6054,0.98617,0.028035
-1.6156,0.97209,0.027987
-1.6256,0.95788,0.02794
-1.6354,0.94354,0.027893
-1.6452,0.92907,0.027847
-1.6547,0.91448,0.027801
-1.6641,0.89976,0.027757
-1.6734,0.88492,0.027713
-1.6825,0.86996,0.027669
-1.6915,0.85487,0.027627
-1.7003,0.83966,0.027585
-1.709,0.82434,0.027543
-1.7175,0.8089,0.027503
-1.7259,0.79334,0.027463
-1.7341,0.77767,0.027423
-1.7422,0.76188,0.027385
-1.7501,0.74598,0.027347
-1.7578,0.72998,0.027309
-1.7654,0.71386,0.027273
-1.7728,0.69763,0.027237
-1.78,0.6813,0.027201
-1.7871,0.66486,0.027167
-1.794,0.64832,0.027133
-1.8008,0.63168,0.027099
-1.8074,0.61493,0.027067
-1.8138,0.59809,0.027035
-1.82,0.58115,0.027003
-1.8261,0.56411,0.026973
-1.832,0.54698,0.026943
-1.8378,0.52975,0.026913
-1.8433,0.51243,0.026885
-1.8487,0.49502,0.026857
-1.8539,0.47753,0.026829
-1.859,0.45994,0.026803
-1.8639,0.44227,0.026777
-1.8686,0.42452,0.026751
-1.8731,0.40668,0.026727
-1.8774,0.38876,0.026703
-1.8816,0.37077,0.026679
-1.8855,0.35269,0.026657
-1.8893,0.33454,0.026634
-1.8929,0.31632,0.026613
-1.8964,0.29802,0.026592
-1.8996,0.27965,0.026572
-1.9027,0.26122,0.026553
-1.9055,0.24271,0.026534
-1.9082,0.22414,0.026516
-1.9107,0.20551,0.026499
-1.9131,0.18681,0.026482
-1.9152,0.16806,0.026466
-1.9171,0.14924,0.02645
-1.9189,0.13037,0.026436
-1.9205,0.11144,0.026422
-1.9218,0.092457,0.026408
-1.923,0.073424,0.026395
-1.924,0.05434,0.026383
-1.9248,0.035209,0.026372
-1.9255,0.016031,0.026361
-1.9259,-0.0031919,0.026351
-1.9261,-0.022457,0.026341
-1.9262,-0.041763,0.026333
-1.926,-0.061108,0.026324
-1.9257,-0.08049,0.026317
-1.9251,-0.099908,0.02631
-1.9244,-0.11936,0.026304
-1.9234,-0.13884,0.026298
-1.9223,-0.15835,0.026294
-1.921,-0.17789,0.026289
-1.9195,-0.19746,0.026286
-1.9178,-0.21705,0.026283
-1.9159,-0.23666,0.026281
-1.9138,-0.25629,0.026279
-1.9115,-0.27594,0.026278
-1.909,-0.29561,0.026278
-1.9063,-0.31529,0.026279
-1.9034,-0.33498,0.02628
-1.9003,-0.35469,0.026282
-1.897,-0.3744,0.026284
-1.8935,-0.39412,0.026287
-1.8898,-0.41384,0.026291
-1.886,-0.43357,0.026296
-1.8819,-0.45329,0.026301
-1.8776,-0.47302,0.026307
-1.8732,-0.49274,0.026313
-1.8685,-0.51246,0.026321
-1.8636,-0.53217,0.026329
-1.8586,-0.55187,0.026337
-1.8533,-0.57156,0.026347
-1.8479,-0.59124,0.026356
-1.8422,-0.6109,0.026367
